# X0,X1,Y0,Y1,Z0,Z1
4.899827389231417030e+00,4.413525049590829141e+00,2.254336216553623018e+01,2.215925486641410913e+01,-7.190816727291625909e+00,-8.059574359095718066e+00
4.413525049590829141e+00,4.666147341832150630e+00,2.215925486641410913e+01,2.464058072371192409e+01,-8.059574359095718066e+00,-7.368414038134036836e+00
4.666147341832150630e+00,4.537143744769125853e+00,2.464058072371192409e+01,2.182062012911380222e+01,-7.368414038134036836e+00,-7.651235787830515278e+00
4.537143744769125853e+00,4.536065384301055659e+00,2.182062012911380222e+01,2.238996557792748376e+01,-7.651235787830515278e+00,-7.472164862313157130e+00
4.536065384301055659e+00,4.732692907472928923e+00,2.238996557792748376e+01,2.172795424685003951e+01,-7.472164862313157130e+00,-7.461556882692136128e+00
4.732692907472928923e+00,4.778950595167396287e+00,2.172795424685003951e+01,2.214319313651471433e+01,-7.461556882692136128e+00,-7.739225665552292632e+00
4.778950595167396287e+00,4.478573491332356937e+00,2.214319313651471433e+01,2.325982158398208810e+01,-7.739225665552292632e+00,-7.914798213636903057e+00
4.478573491332356937e+00,4.703922143830740588e+00,2.325982158398208810e+01,2.377682096476023332e+01,-7.914798213636903057e+00,-7.397716435417076575e+00
4.703922143830740588e+00,4.632168379892489085e+00,2.377682096476023332e+01,2.186016796478015323e+01,-7.397716435417076575e+00,-7.709111636587270056e+00
4.632168379892489085e+00,4.449320741928471712e+00,2.186016796478015323e+01,2.276273560914159333e+01,-7.709111636587270056e+00,-7.568544730793260733e+00
4.449320741928471712e+00,4.488105126135617517e+00,2.276273560914159333e+01,2.179797412112984389e+01,-7.568544730793260733e+00,-7.349098122429210456e+00
4.488105126135617517e+00,4.795528871577155350e+00,2.179797412112984389e+01,2.123146939919056564e+01,-7.349098122429210456e+00,-7.333793484240728411e+00
4.795528871577155350e+00,4.624967825131676591e+00,2.123146939919056564e+01,2.190814183883752619e+01,-7.333793484240728411e+00,-7.828700319093580440e+00
4.624967825131676591e+00,4.803007007856428423e+00,2.190814183883752619e+01,2.346309562937622317e+01,-7.828700319093580440e+00,-7.750305481087565340e+00
4.803007007856428423e+00,4.969979546700801443e+00,2.346309562937622317e+01,2.344569025904037218e+01,-7.750305481087565340e+00,-7.906607773437256625e+00
4.969979546700801443e+00,4.457553684693964513e+00,2.344569025904037218e+01,2.480976122390334027e+01,-7.906607773437256625e+00,-8.219708927937265486e+00
4.457553684693964513e+00,4.844186353722442107e+00,2.480976122390334027e+01,2.639311600395813784e+01,-8.219708927937265486e+00,-7.408229118426526760e+00
4.844186353722442107e+00,4.814243847596621606e+00,2.639311600395813784e+01,2.229268538911833630e+01,-7.408229118426526760e+00,-7.913041783869384282e+00
4.814243847596621606e+00,4.393821531426833182e+00,2.229268538911833630e+01,2.456039336321579825e+01,-7.913041783869384282e+00,-7.933491464147376604e+00
4.393821531426833182e+00,4.495738759752950564e+00,2.456039336321579825e+01,2.369837942715575352e+01,-7.933491464147376604e+00,-7.239691534327448608e+00
4.495738759752950564e+00,4.091491215555985050e+00,2.369837942715575352e+01,2.118972214497302176e+01,-7.239691534327448608e+00,-7.342879923397914510e+00
4.091491215555985050e+00,4.035640669349088938e+00,2.118972214497302176e+01,2.038615658183938351e+01,-7.342879923397914510e+00,-6.744522242801108902e+00
4.035640669349088938e+00,4.472409765984667551e+00,2.038615658183938351e+01,2.103670440846584100e+01,-6.744522242801108902e+00,-6.544538609590168754e+00
4.472409765984667551e+00,4.529952715616226477e+00,2.103670440846584100e+01,2.325119892973951252e+01,-6.544538609590168754e+00,-7.244952558986099689e+00
4.529952715616226477e+00,4.475410704599982914e+00,2.325119892973951252e+01,2.127259769610508755e+01,-7.244952558986099689e+00,-7.359438350316422905e+00
4.475410704599982914e+00,4.784033630341180121e+00,2.127259769610508755e+01,2.130004878400080415e+01,-7.359438350316422905e+00,-7.331501858336290312e+00
4.784033630341180121e+00,4.317353725446780643e+00,2.130004878400080415e+01,2.195293054571114055e+01,-7.331501858336290312e+00,-7.865287742548344951e+00
4.317353725446780643e+00,4.116581849705743146e+00,2.195293054571114055e+01,2.302398726466687862e+01,-7.865287742548344951e+00,-7.221387171443815589e+00
4.116581849705743146e+00,4.181270404730472734e+00,2.302398726466687862e+01,2.037236831493608236e+01,-7.221387171443815589e+00,-6.822399140025686926e+00
4.181270404730472734e+00,4.205874496490178416e+00,2.037236831493608236e+01,2.124394416486495984e+01,-6.822399140025686926e+00,-6.701469700724701717e+00
4.205874496490178416e+00,4.032348976610320435e+00,2.124394416486495984e+01,2.170340105500929084e+01,-6.701469700724701717e+00,-6.765512252157477313e+00
4.032348976610320435e+00,4.083403312440956334e+00,2.170340105500929084e+01,2.102100059259328546e+01,-6.765512252157477313e+00,-6.448454628892847040e+00
4.083403312440956334e+00,4.674142130459207678e+00,2.102100059259328546e+01,2.312676732076889863e+01,-6.448454628892847040e+00,-6.569863627171453224e+00
4.674142130459207678e+00,4.396727939735458612e+00,2.312676732076889863e+01,2.362086149865617202e+01,-6.569863627171453224e+00,-7.586624435031326996e+00
4.396727939735458612e+00,4.953480451628192505e+00,2.362086149865617202e+01,2.171430170686057792e+01,-7.586624435031326996e+00,-7.252302763957943377e+00
4.953480451628192505e+00,4.648966076088958843e+00,2.171430170686057792e+01,2.229661996044087147e+01,-7.252302763957943377e+00,-8.197469006803945746e+00
4.648966076088958843e+00,4.824033845355717887e+00,2.229661996044087147e+01,2.651738048931473202e+01,-8.197469006803945746e+00,-7.694505811691492170e+00
4.824033845355717887e+00,4.290063627558066806e+00,2.651738048931473202e+01,2.320322824672994955e+01,-7.694505811691492170e+00,-7.887711156905773180e+00
4.290063627558066806e+00,4.610206091344590362e+00,2.320322824672994955e+01,2.314783941756633467e+01,-7.887711156905773180e+00,-7.025409647124273960e+00
4.610206091344590362e+00,4.396912065888058940e+00,2.314783941756633467e+01,2.159367237148841312e+01,-7.025409647124273960e+00,-7.515200118898134107e+00
4.396912065888058940e+00,4.062669712948448364e+00,2.159367237148841312e+01,2.149166159694877365e+01,-7.515200118898134107e+00,-7.260023059497004105e+00
4.062669712948448364e+00,4.796410927668169677e+00,2.149166159694877365e+01,2.008378100413657563e+01,-7.260023059497004105e+00,-6.643731590706174472e+00
4.796410927668169677e+00,4.656075216247756998e+00,2.008378100413657563e+01,2.344483765999883929e+01,-6.643731590706174472e+00,-7.717571201780021539e+00
4.656075216247756998e+00,4.569998425687005650e+00,2.344483765999883929e+01,2.294637798201999246e+01,-7.717571201780021539e+00,-7.724673563921050423e+00
4.569998425687005650e+00,4.147269700445738394e+00,2.294637798201999246e+01,2.279912296084353684e+01,-7.724673563921050423e+00,-7.463975481548977164e+00
4.147269700445738394e+00,4.165345733932134920e+00,2.279912296084353684e+01,2.077424632528846971e+01,-7.463975481548977164e+00,-6.808302683007243061e+00
4.165345733932134920e+00,4.761114834603775492e+00,2.077424632528846971e+01,2.117061938265587884e+01,-6.808302683007243061e+00,-6.791683757272076960e+00
4.761114834603775492e+00,4.246444738186909262e+00,2.117061938265587884e+01,2.268352150674030199e+01,-6.791683757272076960e+00,-7.741673604887878035e+00
4.246444738186909262e+00,4.436412679971494022e+00,2.268352150674030199e+01,2.213101069654452147e+01,-7.741673604887878035e+00,-7.025005084888127804e+00
4.436412679971494022e+00,4.871287569792466243e+00,2.213101069654452147e+01,2.119134722768745505e+01,-7.025005084888127804e+00,-7.241341488555490535e+00
4.871287569792466243e+00,4.118751319401225075e+00,2.119134722768745505e+01,2.205970702852555831e+01,-7.241341488555490535e+00,-7.916263571608951999e+00
4.118751319401225075e+00,4.873174525510033384e+00,2.205970702852555831e+01,2.284175952996551473e+01,-7.916263571608951999e+00,-6.852515165592769186e+00
4.873174525510033384e+00,4.076975937563672048e+00,2.284175952996551473e+01,2.266392893034521450e+01,-6.852515165592769186e+00,-7.853482880725542792e+00
4.076975937563672048e+00,4.125502878403423779e+00,2.266392893034521450e+01,2.235926293205154991e+01,-7.853482880725542792e+00,-6.679544889765515414e+00
4.125502878403423779e+00,4.051408856423561744e+00,2.235926293205154991e+01,2.169976648913458206e+01,-6.679544889765515414e+00,-6.709319640906719506e+00
4.051408856423561744e+00,4.160291434648707209e+00,2.169976648913458206e+01,2.126407449909308411e+01,-6.709319640906719506e+00,-6.442691706923626249e+00
4.160291434648707209e+00,4.514571355679364295e+00,2.126407449909308411e+01,2.324188338005283327e+01,-6.442691706923626249e+00,-6.669113638954839551e+00
4.514571355679364295e+00,4.476605184209542010e+00,2.324188338005283327e+01,2.268083436511042805e+01,-6.669113638954839551e+00,-7.250596333554205408e+00
4.476605184209542010e+00,4.707359181393417913e+00,2.268083436511042805e+01,2.111906178390540845e+01,-7.250596333554205408e+00,-7.350595187950013987e+00
4.707359181393417913e+00,4.497898518115623467e+00,2.111906178390540845e+01,2.180637389266696502e+01,-7.350595187950013987e+00,-7.587916528468270805e+00
4.497898518115623467e+00,4.747770181421163471e+00,2.180637389266696502e+01,2.207608323752086221e+01,-7.587916528468270805e+00,-7.427889760522221607e+00
4.747770181421163471e+00,4.015344753041103054e+00,2.207608323752086221e+01,2.200715247982049760e+01,-7.427889760522221607e+00,-7.840493084937882884e+00
4.015344753041103054e+00,4.313533121101723822e+00,2.200715247982049760e+01,2.208915107818354784e+01,-7.840493084937882884e+00,-6.637373633477102075e+00
4.313533121101723822e+00,4.805365609434490537e+00,2.208915107818354784e+01,2.232415063750677220e+01,-6.637373633477102075e+00,-7.065045192953114395e+00
4.805365609434490537e+00,4.836530567676287973e+00,2.232415063750677220e+01,2.205208322453407277e+01,-7.065045192953114395e+00,-7.823793594158541254e+00
4.836530567676287973e+00,4.190719111389140217e+00,2.205208322453407277e+01,2.398179299897428507e+01,-7.823793594158541254e+00,-7.964037325937137091e+00
4.190719111389140217e+00,4.140149060304910478e+00,2.398179299897428507e+01,2.346574349888480171e+01,-7.964037325937137091e+00,-7.040717712643875359e+00
4.140149060304910478e+00,4.602208722181137190e+00,2.346574349888480171e+01,2.043921419081697266e+01,-7.040717712643875359e+00,-6.782627175871606795e+00
4.602208722181137190e+00,4.630524139423089380e+00,2.043921419081697266e+01,2.230666141322929619e+01,-6.782627175871606795e+00,-7.367283742777200217e+00
4.630524139423089380e+00,4.633662191816338094e+00,2.230666141322929619e+01,2.168470632326084058e+01,-7.367283742777200217e+00,-7.617753031497909610e+00
4.633662191816338094e+00,4.025628679890972172e+00,2.168470632326084058e+01,2.243715813307519724e+01,-7.617753031497909610e+00,-7.639272490715304897e+00
4.025628679890972172e+00,4.001351792861483680e+00,2.243715813307519724e+01,2.102834879165367354e+01,-7.639272490715304897e+00,-6.645421267907757112e+00
4.001351792861483680e+00,4.662407734484112609e+00,2.102834879165367354e+01,2.143956077031266005e+01,-6.645421267907757112e+00,-6.426154039805414442e+00
4.662407734484112609e+00,4.978431987105540912e+00,2.143956077031266005e+01,2.465129691951918289e+01,-6.426154039805414442e+00,-7.556742551135344321e+00
4.978431987105540912e+00,4.997718521222103583e+00,2.465129691951918289e+01,2.292689094723211340e+01,-7.556742551135344321e+00,-8.199293225768526483e+00
4.997718521222103583e+00,4.015534097089873633e+00,2.292689094723211340e+01,2.738502193125598083e+01,-8.199293225768526483e+00,-8.253900174032823500e+00
4.015534097089873633e+00,4.031295005586872371e+00,2.738502193125598083e+01,2.557447186364536051e+01,-8.253900174032823500e+00,-6.746494041436013056e+00
4.031295005586872371e+00,4.453421020487823512e+00,2.557447186364536051e+01,2.107536326651657532e+01,-6.746494041436013056e+00,-6.436478434806425675e+00
4.453421020487823512e+00,4.385398806739249977e+00,2.107536326651657532e+01,2.403082351333415900e+01,-6.436478434806425675e+00,-7.139845540668872559e+00
4.385398806739249977e+00,4.554269348276362095e+00,2.403082351333415900e+01,2.103794074850141982e+01,-7.139845540668872559e+00,-7.180363933906789953e+00
4.554269348276362095e+00,4.132620995305899214e+00,2.103794074850141982e+01,2.131972691319488789e+01,-7.180363933906789953e+00,-7.466547533398323111e+00
4.132620995305899214e+00,4.845497963992791313e+00,2.131972691319488789e+01,2.072934039903028847e+01,-7.466547533398323111e+00,-6.811657626682785960e+00
4.845497963992791313e+00,4.074142430162694062e+00,2.072934039903028847e+01,2.278103260289702803e+01,-6.811657626682785960e+00,-7.764038642430532988e+00
4.074142430162694062e+00,4.623652106135979878e+00,2.278103260289702803e+01,2.184704192254234911e+01,-7.764038642430532988e+00,-6.666232179434508964e+00
4.623652106135979878e+00,4.031366837415882642e+00,2.184704192254234911e+01,2.291054268470431410e+01,-6.666232179434508964e+00,-7.489353505780053766e+00
4.031366837415882642e+00,4.350163267741941731e+00,2.291054268470431410e+01,2.056572610763099362e+01,-7.489353505780053766e+00,-6.680211099921351980e+00
4.350163267741941731e+00,4.959401883722566851e+00,2.056572610763099362e+01,2.229333409190790150e+01,-6.680211099921351980e+00,-7.038906586373390617e+00
4.959401883722566851e+00,4.839190100453057752e+00,2.229333409190790150e+01,2.238742868786615858e+01,-7.038906586373390617e+00,-8.042306149407167482e+00
4.839190100453057752e+00,4.467694465448543539e+00,2.238742868786615858e+01,2.553204480294646572e+01,-8.042306149407167482e+00,-8.019779283616953691e+00
4.467694465448543539e+00,4.641514321209927907e+00,2.553204480294646572e+01,2.449162615924258901e+01,-8.019779283616953691e+00,-7.381994940900331592e+00
4.641514321209927907e+00,4.895255335430320542e+00,2.449162615924258901e+01,2.177162470756100277e+01,-7.381994940900331592e+00,-7.605235633148658358e+00
4.895255335430320542e+00,4.714717845169985821e+00,2.177162470756100277e+01,2.298758405008192440e+01,-7.605235633148658358e+00,-8.075041686633406712e+00
4.714717845169985821e+00,4.416046037959734605e+00,2.298758405008192440e+01,2.554226541640611714e+01,-8.075041686633406712e+00,-7.792993055527630553e+00
4.416046037959734605e+00,4.554180422519197968e+00,2.554226541640611714e+01,2.273211446660032564e+01,-7.792993055527630553e+00,-7.331013050422065191e+00
4.554180422519197968e+00,4.119413150674188451e+00,2.273211446660032564e+01,2.140974585545276909e+01,-7.331013050422065191e+00,-7.412854701511700561e+00
4.119413150674188451e+00,4.088324822484150189e+00,2.140974585545276909e+01,2.051621480107019124e+01,-7.412854701511700561e+00,-6.745391586185716548e+00
4.088324822484150189e+00,4.679048610344183068e+00,2.051621480107019124e+01,2.122388383783780341e+01,-6.745391586185716548e+00,-6.573201951465368786e+00
4.679048610344183068e+00,4.348166158565835993e+00,2.122388383783780341e+01,2.361089723252604955e+01,-6.573201951465368786e+00,-7.549812394192913168e+00
4.348166158565835993e+00,4.043112058787304619e+00,2.361089723252604955e+01,2.146653692104420585e+01,-7.549812394192913168e+00,-7.129859568666365277e+00
4.043112058787304619e+00,4.980094790665988036e+00,2.146653692104420585e+01,2.016006023847300455e+01,-7.129859568666365277e+00,-6.623029657478978649e+00
4.980094790665988036e+00,4.224125059657296788e+00,2.016006023847300455e+01,2.397572493455117026e+01,-6.623029657478978649e+00,-7.962308907696394655e+00
4.224125059657296788e+00,4.535912263347215756e+00,2.397572493455117026e+01,2.342146056289579192e+01,-7.962308907696394655e+00,-6.997557833031838648e+00
4.535912263347215756e+00,4.625772639309399636e+00,2.342146056289579192e+01,2.150376142764361376e+01,-6.997557833031838648e+00,-7.425661815101598506e+00
4.625772639309399636e+00,4.244886370364675088e+00,2.150376142764361376e+01,2.169513094785381568e+01,-7.425661815101598506e+00,-7.566428075667373854e+00
4.244886370364675088e+00,4.445985558612706612e+00,2.169513094785381568e+01,2.126267362755259072e+01,-7.566428075667373854e+00,-7.011169316836715737e+00
4.445985558612706612e+00,4.766723893737791151e+00,2.126267362755259072e+01,2.123056326207034417e+01,-7.011169316836715737e+00,-7.217974762620783302e+00
4.766723893737791151e+00,4.824480398854295693e+00,2.123056326207034417e+01,2.180229346025069503e+01,-7.217974762620783302e+00,-7.751610909779835801e+00
4.824480398854295693e+00,4.710987281893067369e+00,2.180229346025069503e+01,2.347621122862336662e+01,-7.751610909779835801e+00,-7.882973718050950040e+00
4.710987281893067369e+00,4.850884674391561902e+00,2.347621122862336662e+01,2.404245066343863613e+01,-7.882973718050950040e+00,-7.830763245133979034e+00
4.850884674391561902e+00,4.505960038889675445e+00,2.404245066343863613e+01,2.397526763294120755e+01,-7.830763245133979034e+00,-7.943554844974671347e+00
4.505960038889675445e+00,4.848235412253869114e+00,2.397526763294120755e+01,2.408953410655354688e+01,-7.943554844974671347e+00,-7.447519233302358543e+00
4.848235412253869114e+00,4.262753186363516633e+00,2.408953410655354688e+01,2.237862004978860853e+01,-7.447519233302358543e+00,-8.004039027283518237e+00
4.262753186363516633e+00,4.196501725691708984e+00,2.237862004978860853e+01,2.386408299620358164e+01,-8.004039027283518237e+00,-7.094720106444144747e+00
4.196501725691708984e+00,4.701739089852239317e+00,2.386408299620358164e+01,2.057551279908840769e+01,-7.094720106444144747e+00,-6.871025292534306494e+00
4.701739089852239317e+00,4.531667861072214087e+00,2.057551279908840769e+01,2.223505142129340939e+01,-6.871025292534306494e+00,-7.537108322670191818e+00
4.531667861072214087e+00,4.533231213740778642e+00,2.223505142129340939e+01,2.186225761832826464e+01,-7.537108322670191818e+00,-7.393058863664626834e+00
4.533231213740778642e+00,4.163618531907350651e+00,2.186225761832826464e+01,2.142727654966353867e+01,-7.393058863664626834e+00,-7.354717293479422047e+00
4.163618531907350651e+00,4.077046206786841154e+00,2.142727654966353867e+01,2.051676979257135613e+01,-7.354717293479422047e+00,-6.766910658641958065e+00
4.077046206786841154e+00,4.620641767379406240e+00,2.051676979257135613e+01,2.107020379960066236e+01,-6.766910658641958065e+00,-6.711420623062307911e+00
4.620641767379406240e+00,4.631230189376998041e+00,2.107020379960066236e+01,2.276930917600856930e+01,-6.711420623062307911e+00,-7.394707817936027716e+00
4.631230189376998041e+00,4.204756683441895682e+00,2.276930917600856930e+01,2.167044160358549121e+01,-7.394707817936027716e+00,-7.605316000910215202e+00
4.204756683441895682e+00,4.391441337134837752e+00,2.167044160358549121e+01,2.129359820330693154e+01,-7.605316000910215202e+00,-6.831712801610638763e+00
4.391441337134837752e+00,4.079781684825771748e+00,2.129359820330693154e+01,2.157922891601766224e+01,-6.831712801610638763e+00,-7.200160731071781228e+00
4.079781684825771748e+00,4.289741632177717534e+00,2.157922891601766224e+01,2.031621876627439960e+01,-7.200160731071781228e+00,-6.613627707549594170e+00
4.289741632177717534e+00,4.811394669541920521e+00,2.031621876627439960e+01,2.239517093477944698e+01,-6.613627707549594170e+00,-6.951512195238898073e+00
4.811394669541920521e+00,4.053550755809061990e+00,2.239517093477944698e+01,2.224986974594198941e+01,-6.951512195238898073e+00,-7.856901671996906700e+00
4.053550755809061990e+00,4.076054773513464902e+00,2.224986974594198941e+01,2.231345035000963861e+01,-7.856901671996906700e+00,-6.674132821537926752e+00
4.076054773513464902e+00,4.359818772485038352e+00,2.231345035000963861e+01,2.158573970665912256e+01,-6.674132821537926752e+00,-6.571206083390615404e+00
4.359818772485038352e+00,4.557320753745101705e+00,2.158573970665912256e+01,2.295759399726895111e+01,-6.571206083390615404e+00,-7.095778683328313186e+00
4.557320753745101705e+00,4.020797479354416559e+00,2.295759399726895111e+01,2.138283192703222113e+01,-7.095778683328313186e+00,-7.382487040197961647e+00
4.020797479354416559e+00,4.896048324709433075e+00,2.138283192703222113e+01,2.027754013983846804e+01,-7.382487040197961647e+00,-6.644563213585356287e+00
4.896048324709433075e+00,4.151191151368481158e+00,2.027754013983846804e+01,2.366088170273091507e+01,-6.644563213585356287e+00,-7.907194336128037904e+00
4.151191151368481158e+00,4.205917367069035961e+00,2.366088170273091507e+01,2.289195336267539105e+01,-7.907194336128037904e+00,-6.831350493966461102e+00
4.205917367069035961e+00,4.041559878033579523e+00,2.289195336267539105e+01,2.121880520469025910e+01,-6.831350493966461102e+00,-6.755350860342024255e+00
4.041559878033579523e+00,4.131502161482450752e+00,2.121880520469025910e+01,2.111289973700248979e+01,-6.755350860342024255e+00,-6.603755298605892499e+00
4.131502161482450752e+00,4.577650958862601982e+00,2.111289973700248979e+01,2.204003300941775123e+01,-6.603755298605892499e+00,-6.672603493177053480e+00
4.577650958862601982e+00,4.582778165300817719e+00,2.204003300941775123e+01,2.285067588347141765e+01,-6.672603493177053480e+00,-7.400848410061247939e+00
4.582778165300817719e+00,4.195004070935929086e+00,2.285067588347141765e+01,2.153737921437356562e+01,-7.400848410061247939e+00,-7.535149076448879768e+00
4.195004070935929086e+00,4.341070677655574528e+00,2.153737921437356562e+01,2.106023976366339667e+01,-7.535149076448879768e+00,-6.853837517476404351e+00
4.341070677655574528e+00,4.354708770007706065e+00,2.106023976366339667e+01,2.142785636498889090e+01,-6.853837517476404351e+00,-7.016523771845959878e+00
4.354708770007706065e+00,4.141990221099533187e+00,2.142785636498889090e+01,2.103408630541492386e+01,-7.016523771845959878e+00,-7.052945373167206711e+00
4.141990221099533187e+00,4.591666622741849224e+00,2.103408630541492386e+01,2.048869054099355580e+01,-7.052945373167206711e+00,-6.748937010190787511e+00
4.591666622741849224e+00,4.145618409798466075e+00,2.048869054099355580e+01,2.248037229365719369e+01,-6.748937010190787511e+00,-7.445183958640952504e+00
4.145618409798466075e+00,4.793024209250854817e+00,2.248037229365719369e+01,2.069015232218396605e+01,-7.445183958640952504e+00,-6.784082865252580419e+00
4.793024209250854817e+00,4.090917848065866558e+00,2.069015232218396605e+01,2.273176708021812686e+01,-6.784082865252580419e+00,-7.745308404429757765e+00
4.090917848065866558e+00,4.645745509907239779e+00,2.273176708021812686e+01,2.167207574271047932e+01,-7.745308404429757765e+00,-6.738594965645668289e+00
4.645745509907239779e+00,4.950365788143684220e+00,2.167207574271047932e+01,2.256764187029438062e+01,-6.738594965645668289e+00,-7.488679244839460125e+00
4.950365788143684220e+00,4.991959653335023006e+00,2.256764187029438062e+01,2.260594243133377645e+01,-7.488679244839460125e+00,-8.105207154498001998e+00
4.991959653335023006e+00,4.026756518544092778e+00,2.260594243133377645e+01,2.640402725651446048e+01,-8.105207154498001998e+00,-8.255656223905004865e+00
4.026756518544092778e+00,4.535241325278465574e+00,2.640402725651446048e+01,2.561451437705389012e+01,-8.255656223905004865e+00,-6.759520514612681552e+00
4.535241325278465574e+00,4.971833974181579130e+00,2.561451437705389012e+01,2.233388231068389373e+01,-6.759520514612681552e+00,-7.358812933792393096e+00
4.971833974181579130e+00,4.729798650312810437e+00,2.233388231068389373e+01,2.247562761697640710e+01,-7.358812933792393096e+00,-8.086706474347332474e+00
