# X0,X1,X2,Y0,Y1,Y2,Z0,Z1,Z2
4.069207550702664378e+00,4.235882833679948334e+00,4.013377460201830615e+00,2.176475974930435342e+01,2.026102947084951111e+01,2.272181680294628237e+01,-7.301481732258836566e+00,-6.545785723720347171e+00,-6.873929698792862197e+00
4.235882833679948334e+00,4.013377460201830615e+00,4.727267622311683404e+00,2.026102947084951111e+01,2.272181680294628237e+01,2.059935008809799939e+01,-6.545785723720347171e+00,-6.873929698792862197e+00,-6.382266473803833051e+00
4.013377460201830615e+00,4.727267622311683404e+00,4.968928063000324080e+00,2.272181680294628237e+01,2.059935008809799939e+01,2.512242912296688502e+01,-6.873929698792862197e+00,-6.382266473803833051e+00,-7.574716957707196663e+00
4.727267622311683404e+00,4.968928063000324080e+00,4.806304129991245233e+00,2.059935008809799939e+01,2.512242912296688502e+01,2.305757438184502917e+01,-6.382266473803833051e+00,-7.574716957707196663e+00,-8.176180754339544166e+00
4.968928063000324080e+00,4.806304129991245233e+00,4.932034464997129497e+00,2.512242912296688502e+01,2.305757438184502917e+01,2.672107675995851395e+01,-7.574716957707196663e+00,-8.176180754339544166e+00,-7.970781522514446493e+00
4.806304129991245233e+00,4.932034464997129497e+00,4.148699523047142179e+00,2.305757438184502917e+01,2.672107675995851395e+01,2.518360567499447455e+01,-8.176180754339544166e+00,-7.970781522514446493e+00,-8.125861917914896537e+00
4.932034464997129497e+00,4.148699523047142179e+00,4.914340664751912335e+00,2.672107675995851395e+01,2.518360567499447455e+01,2.471635460295942366e+01,-7.970781522514446493e+00,-8.125861917914896537e+00,-6.883664365623654469e+00
4.148699523047142179e+00,4.914340664751912335e+00,4.558231280252167394e+00,2.518360567499447455e+01,2.471635460295942366e+01,2.267747758380144418e+01,-8.125861917914896537e+00,-6.883664365623654469e+00,-7.972568029388710009e+00
4.914340664751912335e+00,4.558231280252167394e+00,4.855972206225618315e+00,2.471635460295942366e+01,2.267747758380144418e+01,2.435208702659712188e+01,-6.883664365623654469e+00,-7.972568029388710009e+00,-7.584676316432660492e+00
4.558231280252167394e+00,4.855972206225618315e+00,4.031218460570211271e+00,2.267747758380144418e+01,2.435208702659712188e+01,2.269902059693309582e+01,-7.972568029388710009e+00,-7.584676316432660492e+00,-7.945504424919072939e+00
4.855972206225618315e+00,4.031218460570211271e+00,4.725823432035121563e+00,2.435208702659712188e+01,2.269902059693309582e+01,2.278112407124392291e+01,-7.584676316432660492e+00,-7.945504424919072939e+00,-6.686640699208369121e+00
4.031218460570211271e+00,4.725823432035121563e+00,4.070500264793849077e+00,2.269902059693309582e+01,2.278112407124392291e+01,2.309871616329437316e+01,-7.945504424919072939e+00,-6.686640699208369121e+00,-7.659293608654357044e+00
4.725823432035121563e+00,4.070500264793849077e+00,4.509880108430277090e+00,2.278112407124392291e+01,2.309871616329437316e+01,2.116364583782454645e+01,-6.686640699208369121e+00,-7.659293608654357044e+00,-6.703955873000301047e+00
4.070500264793849077e+00,4.509880108430277090e+00,4.554377943610287360e+00,2.309871616329437316e+01,2.116364583782454645e+01,2.251465735142198099e+01,-7.659293608654357044e+00,-6.703955873000301047e+00,-7.248842020427586519e+00
4.509880108430277090e+00,4.554377943610287360e+00,4.609802054426690887e+00,2.116364583782454645e+01,2.251465735142198099e+01,2.142019861109791279e+01,-6.703955873000301047e+00,-7.248842020427586519e+00,-7.419191142549416362e+00
4.554377943610287360e+00,4.609802054426690887e+00,4.814849915483497611e+00,2.251465735142198099e+01,2.142019861109791279e+01,2.174085587548254850e+01,-7.248842020427586519e+00,-7.419191142549416362e+00,-7.515223817942715989e+00
4.609802054426690887e+00,4.814849915483497611e+00,4.183684591721678281e+00,2.142019861109791279e+01,2.174085587548254850e+01,2.251318057894938107e+01,-7.419191142549416362e+00,-7.515223817942715989e+00,-7.869640949188617007e+00
4.814849915483497611e+00,4.183684591721678281e+00,4.948762340071612087e+00,2.174085587548254850e+01,2.251318057894938107e+01,2.274144199453652959e+01,-7.515223817942715989e+00,-7.869640949188617007e+00,-6.910818969487138475e+00
4.183684591721678281e+00,4.948762340071612087e+00,4.950711831658415996e+00,2.251318057894938107e+01,2.274144199453652959e+01,2.269099525899103398e+01,-7.869640949188617007e+00,-6.910818969487138475e+00,-7.918838350126666370e+00
4.948762340071612087e+00,4.950711831658415996e+00,4.263052835735396506e+00,2.274144199453652959e+01,2.269099525899103398e+01,2.485756527454480036e+01,-6.910818969487138475e+00,-7.918838350126666370e+00,-8.087874492539251392e+00
4.950711831658415996e+00,4.263052835735396506e+00,4.430149825685854914e+00,2.269099525899103398e+01,2.485756527454480036e+01,2.455671870768172127e+01,-7.918838350126666370e+00,-8.087874492539251392e+00,-7.121021330675974426e+00
4.263052835735396506e+00,4.430149825685854914e+00,4.150534611303213772e+00,2.485756527454480036e+01,2.455671870768172127e+01,2.115223788122033000e+01,-8.087874492539251392e+00,-7.121021330675974426e+00,-7.256199070759357994e+00
4.430149825685854914e+00,4.150534611303213772e+00,4.168553110650289106e+00,2.455671870768172127e+01,2.115223788122033000e+01,2.044053027793226107e+01,-7.121021330675974426e+00,-7.256199070759357994e+00,-6.746693660928720249e+00
4.150534611303213772e+00,4.168553110650289106e+00,4.645959038410160780e+00,2.115223788122033000e+01,2.044053027793226107e+01,2.140574573798233615e+01,-7.256199070759357994e+00,-6.746693660928720249e+00,-6.780161006764793719e+00
4.168553110650289106e+00,4.645959038410160780e+00,4.129644125314307246e+00,2.044053027793226107e+01,2.140574573798233615e+01,2.250237965951096797e+01,-6.746693660928720249e+00,-6.780161006764793719e+00,-7.508835941525794588e+00
4.645959038410160780e+00,4.129644125314307246e+00,4.793952095836793603e+00,2.140574573798233615e+01,2.250237965951096797e+01,2.075510244523986714e+01,-6.780161006764793719e+00,-7.508835941525794588e+00,-6.731249349603787735e+00
4.129644125314307246e+00,4.793952095836793603e+00,4.164970459351852838e+00,2.250237965951096797e+01,2.075510244523986714e+01,2.302098061473200019e+01,-7.508835941525794588e+00,-6.731249349603787735e+00,-7.803817891201331847e+00
