# r1_0,r1_1,r2_0,r2_1,y1_0,y1_1,y2_0,y2_1
1.165000000000000036e+00,6.268399999999999528e-01,9.794500000000000428e-01,-2.656100000000000128e-01,0.000000000000000000e+00,1.426500000000000101e+00,3.683899999999999952e-01,1.624700000000000033e+00
6.268399999999999528e-01,7.507999999999999396e-02,-2.656100000000000128e-01,-5.483700000000000241e-01,1.426500000000000101e+00,-1.370500000000000052e+00,1.624700000000000033e+00,-6.534600000000000408e-01
7.507999999999999396e-02,3.516099999999999781e-01,-5.483700000000000241e-01,-9.626800000000000634e-02,-1.370500000000000052e+00,-9.179899999999999727e-01,-6.534600000000000408e-01,-9.993000000000000493e-02
3.516099999999999781e-01,-6.965099999999999625e-01,-9.626800000000000634e-02,-1.380700000000000038e+00,-9.179899999999999727e-01,-6.423400000000000221e-01,-9.993000000000000493e-02,-3.883599999999999830e-01
-6.965099999999999625e-01,1.696099999999999941e+00,-1.380700000000000038e+00,-7.283699999999999619e-01,-6.423400000000000221e-01,-2.439900000000000180e+00,-3.883599999999999830e-01,-1.352000000000000091e+00
1.696099999999999941e+00,5.906000000000000139e-02,-7.283699999999999619e-01,1.885999999999999899e+00,-2.439900000000000180e+00,4.785800000000000054e-01,-1.352000000000000091e+00,4.611000000000000099e-01
5.906000000000000139e-02,1.797099999999999920e+00,1.885999999999999899e+00,-2.941399999999999793e+00,4.785800000000000054e-01,-3.501900000000000013e-01,4.611000000000000099e-01,1.735000000000000098e+00
1.797099999999999920e+00,2.640700000000000269e-01,-2.941399999999999793e+00,9.800200000000000022e-01,-3.501900000000000013e-01,-3.018499999999999961e+00,1.735000000000000098e+00,-3.045999999999999819e+00
2.640700000000000269e-01,8.716699999999999449e-01,9.800200000000000022e-01,-1.191799999999999971e+00,-3.018499999999999961e+00,-3.775000000000000022e-01,-3.045999999999999819e+00,2.396100000000000119e+00
8.716699999999999449e-01,-1.446199999999999930e+00,-1.191799999999999971e+00,-4.379799999999999804e-01,-3.775000000000000022e-01,-2.977399999999999824e+00,2.396100000000000119e+00,-3.222399999999999931e+00
-1.446199999999999930e+00,-7.011699999999999600e-01,-4.379799999999999804e-01,1.366500000000000048e+00,-2.977399999999999824e+00,-2.033500000000000085e+00,-3.222399999999999931e+00,-4.668999999999999817e-01
-7.011699999999999600e-01,1.245999999999999996e+00,1.366500000000000048e+00,-8.726500000000000368e-01,-2.033500000000000085e+00,1.126300000000000079e+00,-4.668999999999999817e-01,7.408000000000000140e-01
1.245999999999999996e+00,-6.389799999999999924e-01,-8.726500000000000368e-01,8.932700000000000362e-02,1.126300000000000079e+00,-4.670400000000000107e-01,7.408000000000000140e-01,-1.065900000000000070e+00
-6.389799999999999924e-01,5.773500000000000298e-01,8.932700000000000362e-02,2.476599999999999913e-01,-4.670400000000000107e-01,-7.058400000000000230e-01,-1.065900000000000070e+00,3.339799999999999991e-01
5.773500000000000298e-01,-3.600300000000000167e-01,2.476599999999999913e-01,4.069900000000000184e-01,-7.058400000000000230e-01,6.672200000000000353e-01,3.339799999999999991e-01,4.567800000000000332e-02
-3.600300000000000167e-01,-1.355800000000000061e-01,4.069900000000000184e-01,6.480700000000000349e-01,6.672200000000000353e-01,-4.823100000000000165e-01,4.567800000000000332e-02,6.591600000000000237e-02
-1.355800000000000061e-01,-1.349299999999999944e+00,6.480700000000000349e-01,-1.644799999999999873e-01,-4.823100000000000165e-01,9.112500000000000044e-01,6.591600000000000237e-02,7.322800000000000142e-02
-1.349299999999999944e+00,-1.270399999999999974e+00,-1.644799999999999873e-01,8.115099999999999536e-01,9.112500000000000044e-01,-7.646899999999999809e-01,7.322800000000000142e-02,-1.259500000000000064e+00
-1.270399999999999974e+00,9.845699999999999452e-01,8.115099999999999536e-01,4.083499999999999908e-01,-7.646899999999999809e-01,2.015099999999999891e+00,-1.259500000000000064e+00,1.213899999999999979e+00
9.845699999999999452e-01,-4.488099999999999729e-02,4.083499999999999908e-01,-1.290100000000000025e+00,2.015099999999999891e+00,2.023600000000000065e+00,1.213899999999999979e+00,6.494299999999999518e-01
-4.488099999999999729e-02,-7.989399999999999835e-01,-1.290100000000000025e+00,9.637099999999999556e-01,2.023600000000000065e+00,-1.212599999999999900e+00,6.494299999999999518e-01,-1.315099999999999936e+00
-7.989399999999999835e-01,-7.651700000000000168e-01,9.637099999999999556e-01,6.525499999999999634e-01,-1.212599999999999900e+00,1.604400000000000048e+00,-1.315099999999999936e+00,1.233000000000000096e+00
-7.651700000000000168e-01,8.617299999999999960e-01,6.525499999999999634e-01,-4.108399999999999830e-01,1.604400000000000048e+00,6.419899999999999496e-01,1.233000000000000096e+00,8.855100000000000471e-02
8.617299999999999960e-01,-5.622499999999999720e-02,-4.108399999999999830e-01,-1.769600000000000062e+00,6.419899999999999496e-01,1.319700000000000095e+00,8.855100000000000471e-02,4.632899999999999796e-01
