# r1_0,r1_1,r1_2,r1_3,r1_4,r2_0,r2_1,r2_2,r2_3,r2_4,y1_0,y1_1,y1_2,y1_3,y1_4,y2_0,y2_1,y2_2,y2_3,y2_4
-1.044400000000000051e-01,-1.086799999999999988e+00,-1.826799999999999979e+00,9.389199999999999768e-01,2.630499999999999852e-02,-1.044400000000000051e-01,-1.086799999999999988e+00,-1.826799999999999979e+00,9.389199999999999768e-01,2.630499999999999852e-02,-8.396200000000000330e-01,-2.075599999999999945e-01,-1.893499999999999961e+00,-1.398300000000000098e+00,3.069100000000000161e+00,-3.098000000000000198e-01,-1.167099999999999943e-01,-2.253000000000000114e+00,-1.546599999999999975e+00,1.963600000000000012e+00
-1.086799999999999988e+00,-1.826799999999999979e+00,9.389199999999999768e-01,2.630499999999999852e-02,-7.076000000000000068e-01,-1.086799999999999988e+00,-1.826799999999999979e+00,9.389199999999999768e-01,2.630499999999999852e-02,-7.076000000000000068e-01,-2.075599999999999945e-01,-1.893499999999999961e+00,-1.398300000000000098e+00,3.069100000000000161e+00,-1.013500000000000068e+00,-1.167099999999999943e-01,-2.253000000000000114e+00,-1.546599999999999975e+00,1.963600000000000012e+00,-1.129499999999999948e+00
-1.826799999999999979e+00,9.389199999999999768e-01,2.630499999999999852e-02,-7.076000000000000068e-01,-3.915500000000000091e-01,-1.826799999999999979e+00,9.389199999999999768e-01,2.630499999999999852e-02,-7.076000000000000068e-01,-3.915500000000000091e-01,-1.893499999999999961e+00,-1.398300000000000098e+00,3.069100000000000161e+00,-1.013500000000000068e+00,-4.845000000000000001e-02,-2.253000000000000114e+00,-1.546599999999999975e+00,1.963600000000000012e+00,-1.129499999999999948e+00,-4.053899999999999726e-01
9.389199999999999768e-01,2.630499999999999852e-02,-7.076000000000000068e-01,-3.915500000000000091e-01,-1.262499999999999956e+00,9.389199999999999768e-01,2.630499999999999852e-02,-7.076000000000000068e-01,-3.915500000000000091e-01,-1.262499999999999956e+00,-1.398300000000000098e+00,3.069100000000000161e+00,-1.013500000000000068e+00,-4.845000000000000001e-02,1.964899999999999980e-02,-1.546599999999999975e+00,1.963600000000000012e+00,-1.129499999999999948e+00,-4.053899999999999726e-01,-7.830200000000000493e-01
2.630499999999999852e-02,-7.076000000000000068e-01,-3.915500000000000091e-01,-1.262499999999999956e+00,3.122400000000000175e-01,2.630499999999999852e-02,-7.076000000000000068e-01,-3.915500000000000091e-01,-1.262499999999999956e+00,3.122400000000000175e-01,3.069100000000000161e+00,-1.013500000000000068e+00,-4.845000000000000001e-02,1.964899999999999980e-02,-1.110200000000000076e+00,1.963600000000000012e+00,-1.129499999999999948e+00,-4.053899999999999726e-01,-7.830200000000000493e-01,-1.397199999999999998e+00
-7.076000000000000068e-01,-3.915500000000000091e-01,-1.262499999999999956e+00,3.122400000000000175e-01,7.930900000000000449e-02,-7.076000000000000068e-01,-3.915500000000000091e-01,-1.262499999999999956e+00,3.122400000000000175e-01,7.930900000000000449e-02,-1.013500000000000068e+00,-4.845000000000000001e-02,1.964899999999999980e-02,-1.110200000000000076e+00,2.117199999999999971e+00,-1.129499999999999948e+00,-4.053899999999999726e-01,-7.830200000000000493e-01,-1.397199999999999998e+00,1.222599999999999909e+00
-3.915500000000000091e-01,-1.262499999999999956e+00,3.122400000000000175e-01,7.930900000000000449e-02,1.609799999999999898e+00,-3.915500000000000091e-01,-1.262499999999999956e+00,3.122400000000000175e-01,7.930900000000000449e-02,1.609799999999999898e+00,-4.845000000000000001e-02,1.964899999999999980e-02,-1.110200000000000076e+00,2.117199999999999971e+00,-2.149399999999999922e-01,-4.053899999999999726e-01,-7.830200000000000493e-01,-1.397199999999999998e+00,1.222599999999999909e+00,1.323799999999999977e-01
-1.262499999999999956e+00,3.122400000000000175e-01,7.930900000000000449e-02,1.609799999999999898e+00,1.055700000000000083e+00,-1.262499999999999956e+00,3.122400000000000175e-01,7.930900000000000449e-02,1.609799999999999898e+00,1.055700000000000083e+00,1.964899999999999980e-02,-1.110200000000000076e+00,2.117199999999999971e+00,-2.149399999999999922e-01,2.905899999999999928e+00,-7.830200000000000493e-01,-1.397199999999999998e+00,1.222599999999999909e+00,1.323799999999999977e-01,3.013700000000000045e+00
3.122400000000000175e-01,7.930900000000000449e-02,1.609799999999999898e+00,1.055700000000000083e+00,4.330899999999999750e-01,3.122400000000000175e-01,7.930900000000000449e-02,1.609799999999999898e+00,1.055700000000000083e+00,4.330899999999999750e-01,-1.110200000000000076e+00,2.117199999999999971e+00,-2.149399999999999922e-01,2.905899999999999928e+00,-4.495600000000000152e-01,-1.397199999999999998e+00,1.222599999999999909e+00,1.323799999999999977e-01,3.013700000000000045e+00,5.131499999999999950e-01
7.930900000000000449e-02,1.609799999999999898e+00,1.055700000000000083e+00,4.330899999999999750e-01,-1.762799999999999923e+00,7.930900000000000449e-02,1.609799999999999898e+00,1.055700000000000083e+00,4.330899999999999750e-01,-1.762799999999999923e+00,2.117199999999999971e+00,-2.149399999999999922e-01,2.905899999999999928e+00,-4.495600000000000152e-01,-7.919400000000000051e-02,1.222599999999999909e+00,1.323799999999999977e-01,3.013700000000000045e+00,5.131499999999999950e-01,1.340099999999999902e-01
