# r1_0,r1_1,r1_2,r1_3,r1_4,r2_0,r2_1,r2_2,r2_3,r2_4,y1_0,y1_1,y1_2,y1_3,y1_4,y2_0,y2_1,y2_2,y2_3,y2_4
1.165000000000000036e+00,6.268399999999999528e-01,7.507999999999999396e-02,3.516099999999999781e-01,-6.965099999999999625e-01,9.794500000000000428e-01,-2.656100000000000128e-01,-5.483700000000000241e-01,-9.626800000000000634e-02,-1.380700000000000038e+00,0.000000000000000000e+00,1.794899999999999940e+00,-1.245900000000000007e+00,-8.086400000000000254e-01,-4.898700000000000276e-01,0.000000000000000000e+00,1.794899999999999940e+00,-6.263400000000000079e-01,-1.340399999999999925e-01,-4.073399999999999938e-02
6.268399999999999528e-01,7.507999999999999396e-02,3.516099999999999781e-01,-6.965099999999999625e-01,1.696099999999999941e+00,-2.656100000000000128e-01,-5.483700000000000241e-01,-9.626800000000000634e-02,-1.380700000000000038e+00,-7.283699999999999619e-01,1.794899999999999940e+00,-1.245900000000000007e+00,-8.086400000000000254e-01,-4.898700000000000276e-01,-2.639200000000000212e+00,1.794899999999999940e+00,-6.263400000000000079e-01,-1.340399999999999925e-01,-4.073399999999999938e-02,-2.120600000000000041e+00
7.507999999999999396e-02,3.516099999999999781e-01,-6.965099999999999625e-01,1.696099999999999941e+00,5.906000000000000139e-02,-5.483700000000000241e-01,-9.626800000000000634e-02,-1.380700000000000038e+00,-7.283699999999999619e-01,1.885999999999999899e+00,-1.245900000000000007e+00,-8.086400000000000254e-01,-4.898700000000000276e-01,-2.639200000000000212e+00,1.116200000000000081e+00,-6.263400000000000079e-01,-1.340399999999999925e-01,-4.073399999999999938e-02,-2.120600000000000041e+00,1.116600000000000037e+00
3.516099999999999781e-01,-6.965099999999999625e-01,1.696099999999999941e+00,5.906000000000000139e-02,1.797099999999999920e+00,-9.626800000000000634e-02,-1.380700000000000038e+00,-7.283699999999999619e-01,1.885999999999999899e+00,-2.941399999999999793e+00,-8.086400000000000254e-01,-4.898700000000000276e-01,-2.639200000000000212e+00,1.116200000000000081e+00,-5.013199999999999878e-01,-1.340399999999999925e-01,-4.073399999999999938e-02,-2.120600000000000041e+00,1.116600000000000037e+00,8.916699999999999626e-01
-6.965099999999999625e-01,1.696099999999999941e+00,5.906000000000000139e-02,1.797099999999999920e+00,2.640700000000000269e-01,-1.380700000000000038e+00,-7.283699999999999619e-01,1.885999999999999899e+00,-2.941399999999999793e+00,9.800200000000000022e-01,-4.898700000000000276e-01,-2.639200000000000212e+00,1.116200000000000081e+00,-5.013199999999999878e-01,-2.235199999999999854e+00,-4.073399999999999938e-02,-2.120600000000000041e+00,1.116600000000000037e+00,8.916699999999999626e-01,-2.328300000000000036e+00
1.696099999999999941e+00,5.906000000000000139e-02,1.797099999999999920e+00,2.640700000000000269e-01,8.716699999999999449e-01,-7.283699999999999619e-01,1.885999999999999899e+00,-2.941399999999999793e+00,9.800200000000000022e-01,-1.191799999999999971e+00,-2.639200000000000212e+00,1.116200000000000081e+00,-5.013199999999999878e-01,-2.235199999999999854e+00,-4.531499999999999972e-01,-2.120600000000000041e+00,1.116600000000000037e+00,8.916699999999999626e-01,-2.328300000000000036e+00,1.889899999999999913e+00
5.906000000000000139e-02,1.797099999999999920e+00,2.640700000000000269e-01,8.716699999999999449e-01,-1.446199999999999930e+00,1.885999999999999899e+00,-2.941399999999999793e+00,9.800200000000000022e-01,-1.191799999999999971e+00,-4.379799999999999804e-01,1.116200000000000081e+00,-5.013199999999999878e-01,-2.235199999999999854e+00,-4.531499999999999972e-01,-2.445800000000000196e+00,1.116600000000000037e+00,8.916699999999999626e-01,-2.328300000000000036e+00,1.889899999999999913e+00,-2.233800000000000008e+00
1.797099999999999920e+00,2.640700000000000269e-01,8.716699999999999449e-01,-1.446199999999999930e+00,-7.011699999999999600e-01,-2.941399999999999793e+00,9.800200000000000022e-01,-1.191799999999999971e+00,-4.379799999999999804e-01,1.366500000000000048e+00,-5.013199999999999878e-01,-2.235199999999999854e+00,-4.531499999999999972e-01,-2.445800000000000196e+00,-2.561300000000000132e+00,8.916699999999999626e-01,-2.328300000000000036e+00,1.889899999999999913e+00,-2.233800000000000008e+00,-8.793900000000000050e-01
2.640700000000000269e-01,8.716699999999999449e-01,-1.446199999999999930e+00,-7.011699999999999600e-01,1.245999999999999996e+00,9.800200000000000022e-01,-1.191799999999999971e+00,-4.379799999999999804e-01,1.366500000000000048e+00,-8.726500000000000368e-01,-2.235199999999999854e+00,-4.531499999999999972e-01,-2.445800000000000196e+00,-2.561300000000000132e+00,1.187400000000000011e+00,-2.328300000000000036e+00,1.889899999999999913e+00,-2.233800000000000008e+00,-8.793900000000000050e-01,5.028200000000000447e-01
8.716699999999999449e-01,-1.446199999999999930e+00,-7.011699999999999600e-01,1.245999999999999996e+00,-6.389799999999999924e-01,-1.191799999999999971e+00,-4.379799999999999804e-01,1.366500000000000048e+00,-8.726500000000000368e-01,8.932700000000000362e-02,-4.531499999999999972e-01,-2.445800000000000196e+00,-2.561300000000000132e+00,1.187400000000000011e+00,-1.975300000000000111e-01,1.889899999999999913e+00,-2.233800000000000008e+00,-8.793900000000000050e-01,5.028200000000000447e-01,-5.970900000000000096e-01
