# r1_0,r1_1,r1_2,r1_3,r1_4,r1_5,r1_6,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,y1_0,y1_1,y1_2,y1_3,y1_4,y1_5,y1_6,y2_0,y2_1,y2_2,y2_3,y2_4,y2_5,y2_6
-1.044400000000000051e-01,-1.086799999999999988e+00,-1.826799999999999979e+00,9.389199999999999768e-01,2.630499999999999852e-02,-7.076000000000000068e-01,-3.915500000000000091e-01,-2.701600000000000112e-01,6.897899999999999865e-02,7.965999999999999748e-01,6.451799999999999757e-01,4.987699999999999911e-01,-1.571700000000000097e+00,-3.612400000000000055e-01,6.906200000000000117e-01,-1.585399999999999920e+00,-1.970699999999999952e-01,5.084499999999999575e-01,2.814900000000000180e+00,1.665899999999999881e-01,-1.061500000000000110e+00,1.868200000000000083e+00,-1.735800000000000010e+00,-3.050999999999999823e-01,4.604899999999999965e-02,1.296599999999999975e+00,6.019800000000000151e-02,-1.653499999999999970e+00
-1.086799999999999988e+00,-1.826799999999999979e+00,9.389199999999999768e-01,2.630499999999999852e-02,-7.076000000000000068e-01,-3.915500000000000091e-01,-1.262499999999999956e+00,6.897899999999999865e-02,7.965999999999999748e-01,6.451799999999999757e-01,4.987699999999999911e-01,-1.571700000000000097e+00,-3.612400000000000055e-01,-6.165599999999999969e-01,-1.585399999999999920e+00,-1.970699999999999952e-01,5.084499999999999575e-01,2.814900000000000180e+00,1.665899999999999881e-01,-1.061500000000000110e+00,6.539500000000000313e-01,-1.735800000000000010e+00,-3.050999999999999823e-01,4.604899999999999965e-02,1.296599999999999975e+00,6.019800000000000151e-02,-1.653499999999999970e+00,3.038799999999999835e-02
-1.826799999999999979e+00,9.389199999999999768e-01,2.630499999999999852e-02,-7.076000000000000068e-01,-3.915500000000000091e-01,-1.262499999999999956e+00,3.122400000000000175e-01,7.965999999999999748e-01,6.451799999999999757e-01,4.987699999999999911e-01,-1.571700000000000097e+00,-3.612400000000000055e-01,-6.165599999999999969e-01,1.449000000000000066e+00,-1.970699999999999952e-01,5.084499999999999575e-01,2.814900000000000180e+00,1.665899999999999881e-01,-1.061500000000000110e+00,6.539500000000000313e-01,-7.883799999999999697e-01,-3.050999999999999823e-01,4.604899999999999965e-02,1.296599999999999975e+00,6.019800000000000151e-02,-1.653499999999999970e+00,3.038799999999999835e-02,-1.184299999999999908e+00
9.389199999999999768e-01,2.630499999999999852e-02,-7.076000000000000068e-01,-3.915500000000000091e-01,-1.262499999999999956e+00,3.122400000000000175e-01,7.930900000000000449e-02,6.451799999999999757e-01,4.987699999999999911e-01,-1.571700000000000097e+00,-3.612400000000000055e-01,-6.165599999999999969e-01,1.449000000000000066e+00,1.930399999999999894e-01,5.084499999999999575e-01,2.814900000000000180e+00,1.665899999999999881e-01,-1.061500000000000110e+00,6.539500000000000313e-01,-7.883799999999999697e-01,3.352899999999999991e+00,4.604899999999999965e-02,1.296599999999999975e+00,6.019800000000000151e-02,-1.653499999999999970e+00,3.038799999999999835e-02,-1.184299999999999908e+00,2.383100000000000218e+00
2.630499999999999852e-02,-7.076000000000000068e-01,-3.915500000000000091e-01,-1.262499999999999956e+00,3.122400000000000175e-01,7.930900000000000449e-02,1.609799999999999898e+00,4.987699999999999911e-01,-1.571700000000000097e+00,-3.612400000000000055e-01,-6.165599999999999969e-01,1.449000000000000066e+00,1.930399999999999894e-01,-1.652500000000000080e+00,2.814900000000000180e+00,1.665899999999999881e-01,-1.061500000000000110e+00,6.539500000000000313e-01,-7.883799999999999697e-01,3.352899999999999991e+00,-2.137300000000000033e-01,1.296599999999999975e+00,6.019800000000000151e-02,-1.653499999999999970e+00,3.038799999999999835e-02,-1.184299999999999908e+00,2.383100000000000218e+00,-1.210799999999999932e-01
-7.076000000000000068e-01,-3.915500000000000091e-01,-1.262499999999999956e+00,3.122400000000000175e-01,7.930900000000000449e-02,1.609799999999999898e+00,1.055700000000000083e+00,-1.571700000000000097e+00,-3.612400000000000055e-01,-6.165599999999999969e-01,1.449000000000000066e+00,1.930399999999999894e-01,-1.652500000000000080e+00,-5.749300000000000521e-01,1.665899999999999881e-01,-1.061500000000000110e+00,6.539500000000000313e-01,-7.883799999999999697e-01,3.352899999999999991e+00,-2.137300000000000033e-01,5.131700000000000150e-02,6.019800000000000151e-02,-1.653499999999999970e+00,3.038799999999999835e-02,-1.184299999999999908e+00,2.383100000000000218e+00,-1.210799999999999932e-01,1.333799999999999986e-01
-3.915500000000000091e-01,-1.262499999999999956e+00,3.122400000000000175e-01,7.930900000000000449e-02,1.609799999999999898e+00,1.055700000000000083e+00,4.330899999999999750e-01,-3.612400000000000055e-01,-6.165599999999999969e-01,1.449000000000000066e+00,1.930399999999999894e-01,-1.652500000000000080e+00,-5.749300000000000521e-01,1.126300000000000079e+00,-1.061500000000000110e+00,6.539500000000000313e-01,-7.883799999999999697e-01,3.352899999999999991e+00,-2.137300000000000033e-01,5.131700000000000150e-02,-1.406800000000000050e+00,-1.653499999999999970e+00,3.038799999999999835e-02,-1.184299999999999908e+00,2.383100000000000218e+00,-1.210799999999999932e-01,1.333799999999999986e-01,1.242700000000000055e-01
-1.262499999999999956e+00,3.122400000000000175e-01,7.930900000000000449e-02,1.609799999999999898e+00,1.055700000000000083e+00,4.330899999999999750e-01,-1.762799999999999923e+00,-6.165599999999999969e-01,1.449000000000000066e+00,1.930399999999999894e-01,-1.652500000000000080e+00,-5.749300000000000521e-01,1.126300000000000079e+00,-7.466699999999999726e-02,6.539500000000000313e-01,-7.883799999999999697e-01,3.352899999999999991e+00,-2.137300000000000033e-01,5.131700000000000150e-02,-1.406800000000000050e+00,-9.969000000000000430e-03,3.038799999999999835e-02,-1.184299999999999908e+00,2.383100000000000218e+00,-1.210799999999999932e-01,1.333799999999999986e-01,1.242700000000000055e-01,4.515100000000000224e-01
3.122400000000000175e-01,7.930900000000000449e-02,1.609799999999999898e+00,1.055700000000000083e+00,4.330899999999999750e-01,-1.762799999999999923e+00,1.684800000000000075e+00,1.449000000000000066e+00,1.930399999999999894e-01,-1.652500000000000080e+00,-5.749300000000000521e-01,1.126300000000000079e+00,-7.466699999999999726e-02,3.014700000000000019e-02,-7.883799999999999697e-01,3.352899999999999991e+00,-2.137300000000000033e-01,5.131700000000000150e-02,-1.406800000000000050e+00,-9.969000000000000430e-03,-2.263500000000000068e+00,-1.184299999999999908e+00,2.383100000000000218e+00,-1.210799999999999932e-01,1.333799999999999986e-01,1.242700000000000055e-01,4.515100000000000224e-01,-1.053500000000000103e+00
7.930900000000000449e-02,1.609799999999999898e+00,1.055700000000000083e+00,4.330899999999999750e-01,-1.762799999999999923e+00,1.684800000000000075e+00,-4.195699999999999985e-01,1.930399999999999894e-01,-1.652500000000000080e+00,-5.749300000000000521e-01,1.126300000000000079e+00,-7.466699999999999726e-02,3.014700000000000019e-02,-6.357000000000000428e-01,3.352899999999999991e+00,-2.137300000000000033e-01,5.131700000000000150e-02,-1.406800000000000050e+00,-9.969000000000000430e-03,-2.263500000000000068e+00,2.104299999999999837e+00,2.383100000000000218e+00,-1.210799999999999932e-01,1.333799999999999986e-01,1.242700000000000055e-01,4.515100000000000224e-01,-1.053500000000000103e+00,1.100200000000000067e+00
1.609799999999999898e+00,1.055700000000000083e+00,4.330899999999999750e-01,-1.762799999999999923e+00,1.684800000000000075e+00,-4.195699999999999985e-01,9.472899999999999376e-02,-1.652500000000000080e+00,-5.749300000000000521e-01,1.126300000000000079e+00,-7.466699999999999726e-02,3.014700000000000019e-02,-6.357000000000000428e-01,-1.104600000000000026e+00,-2.137300000000000033e-01,5.131700000000000150e-02,-1.406800000000000050e+00,-9.969000000000000430e-03,-2.263500000000000068e+00,2.104299999999999837e+00,-2.908700000000000063e+00,-1.210799999999999932e-01,1.333799999999999986e-01,1.242700000000000055e-01,4.515100000000000224e-01,-1.053500000000000103e+00,1.100200000000000067e+00,-1.581399999999999917e+00
1.055700000000000083e+00,4.330899999999999750e-01,-1.762799999999999923e+00,1.684800000000000075e+00,-4.195699999999999985e-01,9.472899999999999376e-02,6.543200000000000127e-01,-5.749300000000000521e-01,1.126300000000000079e+00,-7.466699999999999726e-02,3.014700000000000019e-02,-6.357000000000000428e-01,-1.104600000000000026e+00,2.537599999999999856e-01,5.131700000000000150e-02,-1.406800000000000050e+00,-9.969000000000000430e-03,-2.263500000000000068e+00,2.104299999999999837e+00,-2.908700000000000063e+00,-2.431500000000000050e-01,1.333799999999999986e-01,1.242700000000000055e-01,4.515100000000000224e-01,-1.053500000000000103e+00,1.100200000000000067e+00,-1.581399999999999917e+00,-2.610299999999999843e-01
4.330899999999999750e-01,-1.762799999999999923e+00,1.684800000000000075e+00,-4.195699999999999985e-01,9.472899999999999376e-02,6.543200000000000127e-01,-6.678500000000000547e-01,1.126300000000000079e+00,-7.466699999999999726e-02,3.014700000000000019e-02,-6.357000000000000428e-01,-1.104600000000000026e+00,2.537599999999999856e-01,6.111400000000000166e-01,-1.406800000000000050e+00,-9.969000000000000430e-03,-2.263500000000000068e+00,2.104299999999999837e+00,-2.908700000000000063e+00,-2.431500000000000050e-01,-2.957299999999999929e-01,1.242700000000000055e-01,4.515100000000000224e-01,-1.053500000000000103e+00,1.100200000000000067e+00,-1.581399999999999917e+00,-2.610299999999999843e-01,1.088800000000000046e-01
-1.762799999999999923e+00,1.684800000000000075e+00,-4.195699999999999985e-01,9.472899999999999376e-02,6.543200000000000127e-01,-6.678500000000000547e-01,1.224100000000000049e-01,-7.466699999999999726e-02,3.014700000000000019e-02,-6.357000000000000428e-01,-1.104600000000000026e+00,2.537599999999999856e-01,6.111400000000000166e-01,4.971300000000000163e-01,-9.969000000000000430e-03,-2.263500000000000068e+00,2.104299999999999837e+00,-2.908700000000000063e+00,-2.431500000000000050e-01,-2.957299999999999929e-01,-5.453500000000000014e-01,4.515100000000000224e-01,-1.053500000000000103e+00,1.100200000000000067e+00,-1.581399999999999917e+00,-2.610299999999999843e-01,1.088800000000000046e-01,-8.361300000000000676e-02
1.684800000000000075e+00,-4.195699999999999985e-01,9.472899999999999376e-02,6.543200000000000127e-01,-6.678500000000000547e-01,1.224100000000000049e-01,-1.514800000000000035e-01,3.014700000000000019e-02,-6.357000000000000428e-01,-1.104600000000000026e+00,2.537599999999999856e-01,6.111400000000000166e-01,4.971300000000000163e-01,1.287500000000000089e+00,-2.263500000000000068e+00,2.104299999999999837e+00,-2.908700000000000063e+00,-2.431500000000000050e-01,-2.957299999999999929e-01,-5.453500000000000014e-01,7.795699999999999852e-01,-1.053500000000000103e+00,1.100200000000000067e+00,-1.581399999999999917e+00,-2.610299999999999843e-01,1.088800000000000046e-01,-8.361300000000000676e-02,3.778500000000000192e-01
-4.195699999999999985e-01,9.472899999999999376e-02,6.543200000000000127e-01,-6.678500000000000547e-01,1.224100000000000049e-01,-1.514800000000000035e-01,-1.160600000000000076e+00,-6.357000000000000428e-01,-1.104600000000000026e+00,2.537599999999999856e-01,6.111400000000000166e-01,4.971300000000000163e-01,1.287500000000000089e+00,2.004700000000000093e-01,2.104299999999999837e+00,-2.908700000000000063e+00,-2.431500000000000050e-01,-2.957299999999999929e-01,-5.453500000000000014e-01,7.795699999999999852e-01,9.035100000000000353e-01,1.100200000000000067e+00,-1.581399999999999917e+00,-2.610299999999999843e-01,1.088800000000000046e-01,-8.361300000000000676e-02,3.778500000000000192e-01,6.171100000000000474e-01
9.472899999999999376e-02,6.543200000000000127e-01,-6.678500000000000547e-01,1.224100000000000049e-01,-1.514800000000000035e-01,-1.160600000000000076e+00,-1.283199999999999896e+00,-1.104600000000000026e+00,2.537599999999999856e-01,6.111400000000000166e-01,4.971300000000000163e-01,1.287500000000000089e+00,2.004700000000000093e-01,4.665300000000000002e-01,-2.908700000000000063e+00,-2.431500000000000050e-01,-2.957299999999999929e-01,-5.453500000000000014e-01,7.795699999999999852e-01,9.035100000000000353e-01,-1.332200000000000051e-01,-1.581399999999999917e+00,-2.610299999999999843e-01,1.088800000000000046e-01,-8.361300000000000676e-02,3.778500000000000192e-01,6.171100000000000474e-01,-9.823300000000000365e-01
6.543200000000000127e-01,-6.678500000000000547e-01,1.224100000000000049e-01,-1.514800000000000035e-01,-1.160600000000000076e+00,-1.283199999999999896e+00,2.853199999999999834e-02,2.537599999999999856e-01,6.111400000000000166e-01,4.971300000000000163e-01,1.287500000000000089e+00,2.004700000000000093e-01,4.665300000000000002e-01,5.059500000000000108e-01,-2.431500000000000050e-01,-2.957299999999999929e-01,-5.453500000000000014e-01,7.795699999999999852e-01,9.035100000000000353e-01,-1.332200000000000051e-01,1.440199999999999925e+00,-2.610299999999999843e-01,1.088800000000000046e-01,-8.361300000000000676e-02,3.778500000000000192e-01,6.171100000000000474e-01,-9.823300000000000365e-01,5.458600000000000119e-01
