# r1_0,r1_1,r1_2,r2_0,r2_1,r2_2,y1_0,y1_1,y1_2,y2_0,y2_1,y2_2
-1.044400000000000051e-01,-1.086799999999999988e+00,-1.826799999999999979e+00,-1.044400000000000051e-01,-1.086799999999999988e+00,-1.826799999999999979e+00,1.204199999999999993e-01,1.277000000000000079e-01,-1.726599999999999913e+00,-3.098000000000000198e-01,-1.167099999999999943e-01,-2.253000000000000114e+00
-1.086799999999999988e+00,-1.826799999999999979e+00,9.389199999999999768e-01,-1.086799999999999988e+00,-1.826799999999999979e+00,9.389199999999999768e-01,1.277000000000000079e-01,-1.726599999999999913e+00,-2.075200000000000156e+00,-1.167099999999999943e-01,-2.253000000000000114e+00,-1.546599999999999975e+00
-1.826799999999999979e+00,9.389199999999999768e-01,2.630499999999999852e-02,-1.826799999999999979e+00,9.389199999999999768e-01,2.630499999999999852e-02,-1.726599999999999913e+00,-2.075200000000000156e+00,1.832100000000000062e+00,-2.253000000000000114e+00,-1.546599999999999975e+00,1.963600000000000012e+00
9.389199999999999768e-01,2.630499999999999852e-02,-7.076000000000000068e-01,9.389199999999999768e-01,2.630499999999999852e-02,-7.076000000000000068e-01,-2.075200000000000156e+00,1.832100000000000062e+00,-5.255199999999999871e-01,-1.546599999999999975e+00,1.963600000000000012e+00,-1.129499999999999948e+00
2.630499999999999852e-02,-7.076000000000000068e-01,-3.915500000000000091e-01,2.630499999999999852e-02,-7.076000000000000068e-01,-3.915500000000000091e-01,1.832100000000000062e+00,-5.255199999999999871e-01,-3.392899999999999805e-01,1.963600000000000012e+00,-1.129499999999999948e+00,-4.053899999999999726e-01
-7.076000000000000068e-01,-3.915500000000000091e-01,-1.262499999999999956e+00,-7.076000000000000068e-01,-3.915500000000000091e-01,-1.262499999999999956e+00,-5.255199999999999871e-01,-3.392899999999999805e-01,-3.536699999999999844e-01,-1.129499999999999948e+00,-4.053899999999999726e-01,-7.830200000000000493e-01
-3.915500000000000091e-01,-1.262499999999999956e+00,3.122400000000000175e-01,-3.915500000000000091e-01,-1.262499999999999956e+00,3.122400000000000175e-01,-3.392899999999999805e-01,-3.536699999999999844e-01,-1.457000000000000073e+00,-4.053899999999999726e-01,-7.830200000000000493e-01,-1.397199999999999998e+00
-1.262499999999999956e+00,3.122400000000000175e-01,7.930900000000000449e-02,-1.262499999999999956e+00,3.122400000000000175e-01,7.930900000000000449e-02,-3.536699999999999844e-01,-1.457000000000000073e+00,1.140099999999999891e+00,-7.830200000000000493e-01,-1.397199999999999998e+00,1.222599999999999909e+00
3.122400000000000175e-01,7.930900000000000449e-02,1.609799999999999898e+00,3.122400000000000175e-01,7.930900000000000449e-02,1.609799999999999898e+00,-1.457000000000000073e+00,1.140099999999999891e+00,-8.306399999999999895e-02,-1.397199999999999998e+00,1.222599999999999909e+00,1.323799999999999977e-01
7.930900000000000449e-02,1.609799999999999898e+00,1.055700000000000083e+00,7.930900000000000449e-02,1.609799999999999898e+00,1.055700000000000083e+00,1.140099999999999891e+00,-8.306399999999999895e-02,2.717200000000000060e+00,1.222599999999999909e+00,1.323799999999999977e-01,3.013700000000000045e+00
