PC1.PV,FC3.PV,LC1.PV,FC1.PV,FC4.PV,TC1.PV,FC6.PV,PC2.PV,LC3.PV,FC5.PV,LC2.PV,FC8.PV,TC2.PV,FC7.PV,PC1.OP,FC3.OP,LC1.OP,FC1.OP,FC4.OP,TC1.OP,FC6.OP,PC2.OP,LC3.OP,FC5.OP,LC2.OP,FC8.OP,TC2.OP,FC7.OP,TI1.PV,TI2.PV,FI1.PV,PI1.PV,TI5.PV,TI4.PV,TI6.PV,FI5.PV,TI3.PV,FI4.PV,TI8.PV,TI7.PV,PI2.PV,FI3.PV,LI1.PV,FC3.SP,FC1.SP,FC6.SP,FC5.SP,FC8.SP
4.2034,6411.2,55.535,7.6151,13.42,108.38,1874.6,7.6552,42.375,4.7302,43.38,0.87171,65.684,717.76,61.556,25.628,45,18.601,13.552,24.869,40.514,45.889,62.181,48.833,11.778,8.0069,15.074,62.986,72.402,62.621,30.789,31.554,90.58,99.038,117.41,9.5521,16.283,2.255,88.204,91.54,1.5884,2.4994,59.577,6393.9,7.5868,1888.3,4.6892,0.87133
4.2061,6372.4,55.247,7.6119,13.307,108.43,1838.6,7.7258,41.479,4.7358,43.426,0.87171,65.684,711.54,61.528,25.729,45.833,18.865,13.698,24.786,39.486,47.5,59.958,48.389,11.889,8.0139,15.093,63.09,72.402,62.621,31.311,31.554,90.622,99.121,117.46,9.5611,16.283,2.2541,88.204,91.54,1.5884,2.5317,59.577,6391.5,7.6717,1806.5,4.6809,0.87171
4.2256,6390,55.431,7.6151,13.302,108.47,1834.1,7.7018,41.556,4.7358,43.238,0.87171,65.684,709.97,61.306,25.597,45.167,18.642,13.757,24.707,39.444,47.167,60.028,48,11.5,8.0243,15.109,63.118,72.449,62.58,29.487,31.557,90.663,99.246,117.51,9.3563,16.314,2.2525,88.204,91.54,1.5946,2.5463,59.546,6372.4,7.6038,1809.1,4.6725,0.87196
4.2228,6370.3,55.219,7.6055,13.43,108.51,1851.4,7.6952,41.958,4.7136,43.478,0.87171,65.731,713.59,61.333,25.674,45.833,19.063,13.635,24.625,39.854,47.222,61.069,48.056,12,7.9653,14.968,63.038,72.496,62.621,30.365,31.536,90.705,99.246,117.51,9.4223,16.314,2.2513,88.204,91.54,1.6103,2.5168,59.546,6374.8,7.6717,1847.4,4.6649,0.86945
4.2089,6380.1,55.195,7.6151,13.323,108.59,1838,7.7435,41.826,4.7136,43.231,0.87171,65.731,709.45,61.444,25.646,46,19.316,13.781,24.459,40.028,48.389,60.792,47.722,11.556,7.9479,14.984,63.094,72.543,62.621,31.056,31.557,90.747,99.33,117.51,9.5243,16.345,2.2486,88.246,91.59,1.5978,2.5175,59.515,6384.3,7.6887,1837.2,4.6566,0.8697
4.2089,6372.4,55.337,7.6119,13.415,108.63,1810.7,7.723,41.517,4.6798,43.384,0.87171,65.684,711.93,61.444,25.674,45.5,19.149,13.712,24.373,39.681,48.222,59.958,47.833,11.833,8.0313,15.157,63.024,72.59,62.663,30.773,31.526,90.788,99.371,117.55,9.8519,16.345,2.2514,88.246,91.59,1.6103,2.5258,59.515,6384.3,7.6377,1806.5,4.6399,0.87283
4.2367,6364.6,55.591,7.6055,13.318,108.68,1827.7,7.7272,41.646,4.6798,43.262,0.87008,65.731,714.19,61.139,25.597,44.667,18.806,13.83,24.292,39.406,48.5,60.236,47.667,11.611,8.0139,15.016,62.958,72.59,62.663,29.942,31.522,90.83,99.413,117.55,9.8783,16.376,2.2494,88.246,91.59,1.6134,2.5231,59.484,6358,7.5528,1816.8,4.6392,0.87033
4.2367,6372.4,55.518,7.6119,13.451,108.68,1773.4,7.7216,41.101,4.6406,43.328,0.87171,65.731,710.81,61.111,25.538,44.833,18.885,13.708,24.289,39.351,48.611,58.847,48.167,11.722,7.9826,15.031,63.01,72.59,62.621,29.535,31.543,90.83,99.496,117.55,9.9609,16.376,2.2492,88.246,91.59,1.6165,2.5276,59.484,6355.6,7.5698,1765.6,4.6315,0.87058
4.2645,6376.2,55.296,7.6087,13.456,108.68,1842.6,7.6323,42.094,4.6406,43.259,0.86839,65.731,710.81,60.806,25.413,45.583,19.042,13.66,24.29,39.875,46.944,61.278,48.056,11.667,8.066,15.046,63.003,72.637,62.663,31.856,31.547,90.872,99.496,117.51,10.579,16.408,2.245,88.246,91.59,1.6103,2.5171,59.452,6329.4,7.6462,1855.1,4.6308,0.87083
4.22,6362.5,55.445,7.6151,13.404,108.63,1840,7.6229,41.99,4.6461,43.221,0.87008,65.731,708.85,61.25,25.615,45.167,19.063,13.701,24.373,39.816,46.833,60.931,48,11.611,8.0833,15.061,63.024,72.637,62.621,31.92,31.536,90.872,99.496,117.41,9.8706,16.408,2.2422,88.246,91.59,1.5884,2.513,59.421,6367.6,7.6038,1842.3,4.6399,0.87121
